Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100uF","CP_EIA-3528-21_Kemet-B",134.175500,-106.362500,270.000000,bottom
"C102","100uF","CP_EIA-3528-21_Kemet-B",134.670800,-97.332800,270.000000,bottom
"C103","10uF","CP_EIA-3216-18_Kemet-A",131.000500,-106.506000,270.000000,bottom
"C104","1uF","C_0402_1005Metric",128.397000,-93.599000,270.000000,bottom
"C105","4.7uF","C_0402_1005Metric",131.191000,-110.363000,90.000000,bottom
"C106","1uF","C_0402_1005Metric",129.286000,-96.393000,180.000000,bottom
"C107","100nF","C_0402_1005Metric",160.632000,-93.599000,180.000000,bottom
"C108","100nF","C_0402_1005Metric",162.837000,-94.742000,180.000000,bottom
"C109","100nF","C_0402_1005Metric",154.328000,-105.232200,0.000000,bottom
"C110","100nF","C_0402_1005Metric",151.866600,-96.520000,270.000000,bottom
"C111","4.7uF","C_0402_1005Metric",150.622000,-96.520000,270.000000,bottom
"C112","4.7uF","C_0402_1005Metric",131.445000,-96.393000,0.000000,bottom
"C113","100nF","C_0402_1005Metric",165.100000,-99.926000,270.000000,bottom
"C114","100nF","C_0402_1005Metric",166.243000,-100.965000,90.000000,bottom
"C115","100nF","C_0402_1005Metric",158.836500,-90.868500,0.000000,bottom
"C116","100nF","C_0402_1005Metric",156.032200,-108.204000,90.000000,bottom
"C117","100nF","C_0402_1005Metric",150.264000,-107.315000,0.000000,bottom
"C201","100nF","C_0402_1005Metric",173.609000,-98.425000,270.000000,bottom
"C202","100nF","C_0402_1005Metric",171.323000,-97.917000,0.000000,bottom
"C301","100nF","C_0402_1005Metric",130.325000,-99.314000,0.000000,bottom
"C302","100nF","C_0402_1005Metric",129.489200,-110.363000,90.000000,bottom
"C303","100nF","C_0402_1005Metric",86.487000,-106.680000,180.000000,bottom
"C304","100nF","C_0402_1005Metric",54.102000,-111.021000,270.000000,bottom
"C305","100nF","C_0402_1005Metric",15.494000,-111.252000,270.000000,bottom
"C306","100nF","C_0402_1005Metric",10.033000,-49.657000,0.000000,bottom
"C307","100nF","C_0402_1005Metric",8.278000,-9.067800,270.000000,bottom
"C308","100nF","C_0402_1005Metric",46.124000,-9.067800,270.000000,bottom
"C309","100nF","C_0402_1005Metric",84.097000,-9.067800,270.000000,bottom
"C310","100nF","C_0402_1005Metric",121.943000,-9.067800,270.000000,bottom
"C311","100nF","C_0402_1005Metric",159.893000,-9.067800,270.000000,bottom
"C312","100nF","C_0402_1005Metric",197.866000,-9.067800,270.000000,bottom
"C313","100nF","C_0402_1005Metric",235.735000,-9.067800,270.000000,bottom
"C314","100nF","C_0402_1005Metric",273.685000,-9.067800,270.000000,bottom
"C315","100nF","C_0402_1005Metric",275.463000,-49.403000,0.000000,bottom
"C316","100nF","C_0402_1005Metric",273.812000,-97.790000,0.000000,bottom
"C317","100nF","C_0402_1005Metric",241.046000,-98.806000,90.000000,bottom
"C318","100nF","C_0402_1005Metric",199.667000,-106.299000,180.000000,bottom
"D201","1N4148","D_SOD-323F",-1.187500,5.937500,0.000000,bottom
"D202","1N4148","D_SOD-323F",-1.187500,-17.812500,0.000000,bottom
"D203","1N4148","D_SOD-323F",3.562500,-36.812500,0.000000,bottom
"D204","1N4148","D_SOD-323F",5.937500,-55.812500,0.000000,bottom
"D205","1N4148","D_SOD-323F",1.187500,-74.812500,0.000000,bottom
"D206","1N4148","D_SOD-323F",1.187500,-93.812500,0.000000,bottom
"D207","1N4148","D_SOD-323F",22.562500,5.937500,0.000000,bottom
"D208","1N4148","D_SOD-323F",17.812500,-17.812500,0.000000,bottom
"D209","1N4148","D_SOD-323F",22.562500,-74.812500,0.000000,bottom
"D210","1N4148","D_SOD-323F",24.937500,-93.812500,0.000000,bottom
"D211","1N4148","D_SOD-323F",41.562500,5.937500,0.000000,bottom
"D212","1N4148","D_SOD-323F",36.812500,-17.812500,0.000000,bottom
"D213","1N4148","D_SOD-323F",27.312500,-36.812500,0.000000,bottom
"D214","1N4148","D_SOD-323F",32.062500,-55.812500,0.000000,bottom
"D215","1N4148","D_SOD-323F",41.562500,-74.812500,0.000000,bottom
"D216","1N4148","D_SOD-323F",48.687500,-93.812500,0.000000,bottom
"D217","1N4148","D_SOD-323F",60.562500,5.937500,0.000000,bottom
"D218","1N4148","D_SOD-323F",55.812500,-17.812500,0.000000,bottom
"D219","1N4148","D_SOD-323F",46.312500,-36.812500,0.000000,bottom
"D220","1N4148","D_SOD-323F",51.062500,-55.812500,0.000000,bottom
"D221","1N4148","D_SOD-323F",60.562500,-74.812500,0.000000,bottom
"D222","1N4148","D_SOD-323F",79.562500,5.937500,0.000000,bottom
"D223","1N4148","D_SOD-323F",74.812500,-17.812500,0.000000,bottom
"D224","1N4148","D_SOD-323F",65.312500,-36.812500,0.000000,bottom
"D225","1N4148","D_SOD-323F",70.062500,-55.812500,0.000000,bottom
"D226","1N4148","D_SOD-323F",79.562500,-74.812500,0.000000,bottom
"D227","1N4148","D_SOD-323F",93.812500,-17.812500,0.000000,bottom
"D228","1N4148","D_SOD-323F",84.312500,-36.812500,0.000000,bottom
"D229","1N4148","D_SOD-323F",89.062500,-55.812500,0.000000,bottom
"D230","1N4148","D_SOD-323F",98.562500,-74.812500,0.000000,bottom
"D231","1N4148","D_SOD-323F",103.312500,5.937500,0.000000,bottom
"D232","1N4148","D_SOD-323F",112.812500,-17.812500,0.000000,bottom
"D233","1N4148","D_SOD-323F",103.312500,-36.812500,0.000000,bottom
"D234","1N4148","D_SOD-323F",108.062500,-55.812500,0.000000,bottom
"D235","1N4148","D_SOD-323F",117.562500,-74.812500,0.000000,bottom
"D236","1N4148","D_SOD-323F",119.937500,-93.812500,0.000000,bottom
