Comment,Designator,Footprint,LCSC, LCSC
"100uF","C102,C101","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","","C16133"
"10uF","C103","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","","C7171"
"1uF","C106,C104","Capacitor_SMD:C_0402_1005Metric","","C52923"
"4.7uF","C111,C105,C112","Capacitor_SMD:C_0402_1005Metric","","C23733"
"100nF","C114,C113,C117,C110,C109,C108,C107,C115,C116,C202,C201,C302,C303,C304,C305,C307,C308,C309,C310,C311,C312,C301,C313,C314,C315,C316,C317,C318,C306","Capacitor_SMD:C_0402_1005Metric","","C1525"
"1N4148","D202,D203,D204,D205,D206,D208,D209,D210,D212,D213,D214,D215,D216,D218,D219,D220,D221,D223,D224,D225,D226,D227,D228,D229,D230,D232,D233,D234,D235,D236,D238,D239,D240,D241,D243,D244,D245,D246,D248,D249,D250,D251,D253,D254,D255,D256,D257,D259,D260,D261,D262,D263,D265,D266,D267,D269,D270,D271,D272,D274,D275,D276,D277,D279,D280,D281,D282,D283,D278,D273,D268,D264,D258,D252,D247,D242,D237,D231,D222,D217,D211,D207,D201","Diode_SMD:D_SOD-323F","","C2128"
"SK6812MINI","D301,D302,D303,D304,D306,D307,D308,D309,D310,D311,D312,D313,D314,D315,D316,D317,D305","LED_SMD:LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",""
"USB","J101","Connector_JST:JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal",""
"SPI","J102","Connector_JST:JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",""
"Conn_01x01_Male","J103","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"MX-LED","MX201,MX202,MX207,MX208,MX209,MX211,MX212,MX213,MX214,MX215,MX217,MX218,MX219,MX220,MX221,MX222,MX223,MX224,MX225,MX226,MX227,MX228,MX229,MX230,MX231,MX232,MX233,MX234,MX235,MX237,MX238,MX239,MX240,MX241,MX242,MX243,MX244,MX245,MX246,MX247,MX248,MX249,MX250,MX251,MX252,MX253,MX254,MX255,MX256,MX258,MX259,MX260,MX261,MX262,MX264,MX265,MX266,MX267,MX268,MX269,MX270,MX272,MX273,MX276,MX277,MX278,MX279,MX280,MX281,MX282","MX_Only:MXOnly-1U",""
"MX-LED","MX203,MX257,MX271","MX_Only:MXOnly-1.5U",""
"MX-LED","MX204","MX_Only:MXOnly-1.75U",""
"MX-LED","MX205,MX206,MX210,MX216,MX263","MX_Only:MXOnly-1.25U",""
"MX-LED","MX236","MX_Only:MXOnly-6.25U",""
"MX-LED","MX274","MX_Only:MXOnly-2U-ReversedStabilizers",""
"MX-LED","MX275","MX_Only:MXOnly-ISO",""
"AO3400A","Q101","Package_TO_SOT_SMD:SOT-23","","C20917"
"100R","R101","Resistor_SMD:R_0402_1005Metric","","C25076"
"10R","R102","Resistor_SMD:R_0402_1005Metric","","C25077"
"10k","R103,R283,R284","Resistor_SMD:R_0402_1005Metric","","C25744"
"47k","R107,R106,R104,R105","Resistor_SMD:R_0402_1005Metric","","C25792"
"680R","R201,R202,R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R213,R214,R215,R216,R217,R218,R219,R220,R221,R222,R223,R224,R225,R226,R227,R228,R229,R230,R231,R232,R233,R234,R235,R236,R237,R238,R239,R240,R241,R242,R243,R244,R245,R246,R247,R248,R249,R250,R251,R252,R253,R254,R255,R256,R257,R258,R259,R260,R261,R262,R263,R264,R265,R266,R267,R268,R269,R270,R271,R272,R273,R274,R275,R276,R277,R278,R279,R280,R281,R282","Resistor_SMD:R_0603_1608Metric","","C23228"
"RST","SW101","random-keyboard-parts:SKQG-1155865","","C318886"
"BOOT","SW102","random-keyboard-parts:SKQG-1155865","","C318886"
"Rotary_Encoder_Switch","SW201","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",""
"XC6206P332MR","U101","Package_TO_SOT_SMD:SOT-23","","C5446"
"STM32F072CBTx","U102","Package_QFP:LQFP-48_7x7mm_P0.5mm","","C81720"
"74LVC1G125","U301","Package_TO_SOT_SMD:SOT-23-5","","C23654"
